site,date_observed,genus,species,id,leaf_breaking_bud_observed,leaf_breaking_bud_intensity,leaf_observed,leaf_intensity,leaf_iNocreasiNog_size_observed,leaf_increasing_size_intensity,leaf_color_observed,leaf_color_intensity,leaf_falliNog_observed,flower_buds_observed,flower_buds_intensity,flower_opeNo_observed,flower_open_intensity,flower_pollen_release_observed,flower_pollen_release_intensity,fruit_observed,fruit_intensity,fruit_ripe_observed,fruit_ripe_intensity,fruit_drop_observed,fruit_drop_intensity,notes_observer,notes_entry,year,num_records
Oak Collection,3/10/2017,Quercus,lyrata,1133-2004*1,Y,2,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,"2 sad leaves had begun to emerge, but showed severe frost damage",,2017,57
Oak Collection,3/10/2017,Quercus,marilandica,305-94*2,N,0,No,0,No,0,No,0,No,Yes,,Yes,,Y,,No,0,No,0,No,0,,,2017,58
Oak Collection,3/10/2017,Quercus,marilandica,362-96*7,N,0,No,0,No,0,No,0,No,Yes,,Yes,,Y,,No,0,No,0,No,0,,,2017,59
Oak Collection,3/10/2017,Quercus,michauxii,539-96*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,60
Oak Collection,3/10/2017,Quercus,michauxii,539-96*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,61
Oak Collection,3/10/2017,Quercus,montana,657-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,62
Oak Collection,3/10/2017,Quercus,petraea,400-2009*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,63
Oak Collection,3/10/2017,Quercus,prinoides,365-2007*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,64
Oak Collection,3/10/2017,Quercus,prinoides,742-51*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,65
Oak Collection,3/10/2017,Quercus,prinoides,768-54*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,66
Oak Collection,3/10/2017,Quercus,robur,180-93*8,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,67
Oak Collection,3/10/2017,Quercus,robur,400-2009*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Buds slightly swollen,,2017,68
Oak Collection,3/10/2017,Quercus,rubra,354-37*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,"Branches high, couldn't tell if I was seeing flowers or broken petioles",,2017,69
Oak Collection,3/10/2017,Quercus,rubra,466-37*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,70
Oak Collection,3/10/2017,Quercus,stellata,210-91*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,71
Oak Collection,3/10/2017,Quercus,stellata,212-91*3,N,0,No,0,No,0,No,0,Yes,Yes,,Yes,,Y,,No,0,No,0,No,0,Male flowers,,2017,72
Oak Collection,3/10/2017,Quercus,stellata,212-91*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,73
Oak Collection,3/10/2017,Quercus,velutina,185-92*2,N,0,No,0,No,0,No,0,No,Yes,101-1000,No,0,N,none,No,0,No,0,No,0,"Recent leaf drop, green bud scars, swollen flower buds",,2017,74
Oak Collection,3/10/2017,Quercus,velutina,185-92*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Bud swell (slight),,2017,75
Oak Collection,3/10/2017,Quercus,velutina,185-92*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Slight bud swell but no break,,2017,76
Oak Collection,3/16/2017,Quercus,alba,134-U*60,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,77
Oak Collection,3/16/2017,Quercus,alba,304-94*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,78
Oak Collection,3/16/2017,Quercus,alba,684-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,79
Oak Collection,3/16/2017,Quercus,bicolor,135-U*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,80
Oak Collection,3/16/2017,Quercus,bicolor,214-91*2,Y,11-100,Yes,11-100,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,"Frost damaged leaves and flowers, all low",,2017,81
Oak Collection,3/16/2017,Quercus,bicolor,214-91*3,Y,,Yes,11-100,No,0,No,0,No,Yes,10-Mar,No,0,N,none,No,0,No,0,No,0,"Frost damaged leaves and flowers, all low",,2017,82
Oak Collection,3/16/2017,Quercus,coccinea,1173-2004*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,83
Oak Collection,3/16/2017,Quercus,coccinea,1173-2004*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,84
Oak Collection,3/16/2017,Quercus,coccinea,435-2004*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,85
Oak Collection,3/16/2017,Quercus,dalechampii,286-97*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Buds swollen,,2017,86
Oak Collection,3/16/2017,Quercus,dalechampii,286-97*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,87
Oak Collection,3/16/2017,Quercus,ellipsoidalis,204-92*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,88
Oak Collection,3/16/2017,Quercus,ellipsoidalis,204-92*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,89
Oak Collection,3/16/2017,Quercus,ellipsoidalis,437-2004*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,90
Oak Collection,3/16/2017,Quercus,gambelii,145-75*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,91
Oak Collection,3/16/2017,Quercus,gambelii,145-75*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,92
Oak Collection,3/16/2017,Quercus,gambelii,145-75*8,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,93
Oak Collection,3/16/2017,Quercus,georgiana,49-2002*3,N,0,No,0,No,0,No,0,No,Yes,101-1000,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,94
Oak Collection,3/16/2017,Quercus,georgiana,49-2002*4,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,95
Oak Collection,3/16/2017,Quercus,georgiana,49-2002*5,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,96
Oak Collection,3/16/2017,Quercus,hartwissiana,27-95*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Buds swollen,,2017,97
Oak Collection,3/16/2017,Quercus,hartwissiana,27-95*5,Y,11-100,Yes,11-100,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Frost damaged leaves - 1 branch,,2017,98
Oak Collection,3/16/2017,Quercus,ilicifolia,260-93*1,N,0,No,0,No,0,No,0,No,Yes,101-1000,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,99
Oak Collection,3/16/2017,Quercus,ilicifolia,260-93*2,N,0,No,0,No,0,No,0,No,Yes,101-1000,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,100
Oak Collection,3/16/2017,Quercus,imbricaria,1183-2004*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,101
Oak Collection,3/16/2017,Quercus,imbricaria,1512-35*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,102
Oak Collection,3/16/2017,Quercus,imbricaria,523-32*1,N,0,No,0,No,0,No,0,No,Yes,101-1000,Yes,,N,none,No,0,No,0,No,0,Frost damaged flowers,,2017,103
Oak Collection,3/16/2017,Quercus,lobata,526-2000*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,104
Oak Collection,3/16/2017,Quercus,lyrata,1133-2004*1,Y,101-1000,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,Frost damaged leaves and flowers,,2017,105
Oak Collection,3/16/2017,Quercus,lyrata,179-95*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,106
Oak Collection,3/16/2017,Quercus,lyrata,517-2000*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,107
Oak Collection,3/16/2017,Quercus,macrocarpa,2390-26*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,108
Oak Collection,3/16/2017,Quercus,macrocarpa,597-2001*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,109
Oak Collection,3/16/2017,Quercus,macrocarpa,696-2006*8,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,110
Oak Collection,3/16/2017,Quercus,marilandica,1134-2004*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,111
Oak Collection,3/16/2017,Quercus,marilandica,305-94*2,N,0,No,0,No,0,No,0,No,Yes,10-Mar,Yes,,N,none,No,0,No,0,No,0,,,2017,112
Oak Collection,3/16/2017,Quercus,marilandica,362-96*7,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,Frost damaged flowers (female),,2017,113
Oak Collection,3/16/2017,Quercus,michauxii,539-96*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,114
Oak Collection,3/16/2017,Quercus,michauxii,539-96*5,N,0,No,0,No,0,No,0,No,Yes,11-100,No,0,N,none,No,0,No,0,No,0,,,2017,115
Oak Collection,3/16/2017,Quercus,michauxii,645-48*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,116
Oak Collection,3/16/2017,Quercus,montana,602-2000*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,117
Oak Collection,3/16/2017,Quercus,montana,606-2000*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,118
Oak Collection,3/16/2017,Quercus,montana,657-33*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,119
Oak Collection,3/16/2017,Quercus,muehlenbergii,215-91*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,120
Oak Collection,3/16/2017,Quercus,muehlenbergii,704-46*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,121
Oak Collection,3/16/2017,Quercus,muehlenbergii,704-46*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,122
Oak Collection,3/16/2017,Quercus,palustris,1164-22*6,N,0,No,0,No,0,No,0,No,Yes,10-Mar,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,123
Oak Collection,3/16/2017,Quercus,palustris,573-40*7,N,0,No,0,No,0,No,0,No,Yes,10-Mar,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,124
Oak Collection,3/16/2017,Quercus,palustris,77-72*1,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,125
Oak Collection,3/16/2017,Quercus,petraea,20-2012*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,126
Oak Collection,3/16/2017,Quercus,petraea,258-2004*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,127
Oak Collection,3/16/2017,Quercus,petraea,498-2005*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,128
Oak Collection,3/16/2017,Quercus,prinoides,365-2007*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,129
Oak Collection,3/16/2017,Quercus,prinoides,742-51*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,130
Oak Collection,3/16/2017,Quercus,prinoides,768-54*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,131
Oak Collection,3/16/2017,Quercus,pyrenaica,200-99*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,132
Oak Collection,3/16/2017,Quercus,robur,180-93*8,N,0,No,0,No,0,No,0,No,Yes,10-Mar,Yes,,N,none,No,0,No,0,No,0,Frost damaged flowers (male),,2017,133
Oak Collection,3/16/2017,Quercus,robur,21-2012*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,134
Oak Collection,3/16/2017,Quercus,robur,400-2009*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,135
Oak Collection,3/16/2017,Quercus,rubra,354-37*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,136
Oak Collection,3/16/2017,Quercus,rubra,466-37*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,137
Oak Collection,3/16/2017,Quercus,rubra,64-92*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,138
Oak Collection,3/16/2017,Quercus,shumardii,10-2008*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,139
Oak Collection,3/16/2017,Quercus,shumardii,1513-35*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,140
Oak Collection,3/16/2017,Quercus,shumardii,575-40*2,N,0,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,"Female flowers, look frost damaged",,2017,141
Oak Collection,3/16/2017,Quercus,stellata,210-91*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,142
Oak Collection,3/16/2017,Quercus,stellata,212-91*2,Y,10-Mar,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,143
Oak Collection,3/16/2017,Quercus,stellata,212-91*3,Y,11-100,No,0,No,0,No,0,No,Yes,11-100,Yes,,N,none,No,0,No,0,No,0,Frost damaged flowers (male),,2017,144
Oak Collection,3/16/2017,Quercus,velutina,185-92*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,Buds swollen,,2017,145
Oak Collection,3/16/2017,Quercus,velutina,185-92*4,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,146
Oak Collection,3/16/2017,Quercus,velutina,185-92*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,147
Oak Collection,3/23/2017,Quercus,alba,134-U*60,N,0,No,0,No,0,No,0,Yes,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,148
Oak Collection,3/23/2017,Quercus,bicolor,214-91*2,N,0,No,0,No,0,No,0,Yes,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,149
Oak Collection,3/23/2017,Quercus,bicolor,214-91*3,N,0,No,0,No,0,No,0,Yes,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,150
Oak Collection,3/23/2017,Quercus,dalechampii,286-97*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,151
Oak Collection,3/23/2017,Quercus,dalechampii,286-97*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,152
Oak Collection,3/23/2017,Quercus,ellipsoidalis,204-92*4,N,0,No,0,No,0,No,0,Yes,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,153
Oak Collection,3/23/2017,Quercus,hartwissiana,27-95*3,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,154
Oak Collection,3/23/2017,Quercus,hartwissiana,27-95*5,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,155
Oak Collection,3/23/2017,Quercus,ilicifolia,260-93*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,156
Oak Collection,3/23/2017,Quercus,ilicifolia,260-93*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,157
Oak Collection,3/23/2017,Quercus,imbricaria,1512-35*2,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,158
Oak Collection,3/23/2017,Quercus,imbricaria,523-32*1,N,0,No,0,No,0,No,0,Yes,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,159
Oak Collection,3/23/2017,Quercus,lyrata,179-95*1,N,0,No,0,No,0,No,0,No,No,0,No,0,N,none,No,0,No,0,No,0,,,2017,160
Oak Collection,3/23/2017,Quercus,macrocarpa,2390-26*1,N,0,No,0,No,0,No,0,No,Yes,10-Mar,No,0,N,none,No,0,No,0,No,0,,,2017,161
