"","X","date_observed","genus","species","id","leaf_breaking_bud_observed","leaf_breaking_bud_intensity","leaf_observed","leaf_intensity","leaf_increasing_size_observed","leaf_increasing_size_intensity","leaf_color_observed","leaf_color_intensity","leaf_falling_observed","flower_buds_observed","flower_buds_intensity","flower_open_observed","flower_open_intensity","fruit_observed","fruit_intensity","fruit_ripe_observed","fruit_ripe_intensity","fruit_drop_observed","fruit_drop_intensity","notes_observer","notes_entry","month","date"
"22",22,"3/9/2017","Quercus","michauxii","645-48*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"23",23,"3/9/2017","Quercus","montana","602-2000*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"24",24,"3/9/2017","Quercus","montana","606-2000*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"25",25,"3/9/2017","Quercus","muehlenbergii","215-91*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"26",26,"3/9/2017","Quercus","muehlenbergii","704-46*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"27",27,"3/9/2017","Quercus","muehlenbergii","704-46*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"28",28,"3/9/2017","Quercus","palustris","1164-22*6",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"29",29,"3/9/2017","Quercus","palustris","573-40*7",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"30",30,"3/9/2017","Quercus","palustris","77-72*1",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers","0",3,9
"31",31,"3/9/2017","Quercus","petraea","258-2004*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"32",32,"3/9/2017","Quercus","petraea","498-2005*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"33",33,"3/9/2017","Quercus","phellos","109-74*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"34",34,"3/9/2017","Quercus","pyrenaica","200-99*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"35",35,"3/9/2017","Quercus","robur","21-2012*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"36",36,"3/9/2017","Quercus","rubra","64-92*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"37",37,"3/9/2017","Quercus","shumardii","10-2008*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"38",38,"3/9/2017","Quercus","shumardii","1513-35*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,9
"39",39,"3/9/2017","Quercus","shumardii","575-40*2",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",1,"0",0,"0",0,"0",0,"0","Female flowers","0",3,9
"40",40,"3/9/2017","Acer","x freemanii","321-56*3",0,"0",0,"0",0,"0",0,"0",0,1,"0",1,"0",0,"0",0,"0",0,"0","0","0",3,9
"41",41,"3/10/2017","Quercus","alba","134-U*60",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"42",42,"3/10/2017","Quercus","alba","304-94*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"43",43,"3/10/2017","Quercus","alba","684-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"44",44,"3/10/2017","Quercus","bicolor","214-91*2",0,"0",0,"0",0,"0",0,"0",0,1,"0",1,"0",0,"0",0,"0",0,"0","0","0",3,10
"45",45,"3/10/2017","Quercus","bicolor","214-91*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"46",46,"3/10/2017","Quercus","dalechampii","286-97*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Slight bud swell","0",3,10
"47",47,"3/10/2017","Quercus","dalechampii","286-97*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"48",48,"3/10/2017","Quercus","ellipsoidalis","204-92*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"49",49,"3/10/2017","Quercus","gambelii","145-75*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"50",50,"3/10/2017","Quercus","gambelii","145-75*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"51",51,"3/10/2017","Quercus","gambelii","145-75*8",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"52",52,"3/10/2017","Quercus","hartwissiana","27-95*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"53",53,"3/10/2017","Quercus","hartwissiana","27-95*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"54",54,"3/10/2017","Quercus","ilicifolia","260-93*1",0,"0",0,"0",0,"0",0,"0",0,1,"1001-10000",1,"0",0,"0",0,"0",0,"0","Looks like exposed flower parts have frost damage","0",3,10
"55",55,"3/10/2017","Quercus","ilicifolia","260-93*2",0,"0",0,"0",0,"0",0,"0",0,1,"1001-10000",1,"0",0,"0",0,"0",0,"0","Flowers open but dry and looks like they have frost damage","0",3,10
"56",56,"3/10/2017","Quercus","imbricaria","523-32*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"57",57,"3/10/2017","Quercus","lyrata","1133-2004*1",1,"2",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","2 sad leaves had begun to emerge, but showed severe frost damage","0",3,10
"58",58,"3/10/2017","Quercus","marilandica","305-94*2",0,"0",0,"0",0,"0",0,"0",0,1,"0",1,"0",0,"0",0,"0",0,"0","0","0",3,10
"59",59,"3/10/2017","Quercus","marilandica","362-96*7",0,"0",0,"0",0,"0",0,"0",0,1,"0",1,"0",0,"0",0,"0",0,"0","0","0",3,10
"60",60,"3/10/2017","Quercus","michauxii","539-96*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"61",61,"3/10/2017","Quercus","michauxii","539-96*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"62",62,"3/10/2017","Quercus","montana","657-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"63",63,"3/10/2017","Quercus","petraea","400-2009*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"64",64,"3/10/2017","Quercus","prinoides","365-2007*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"65",65,"3/10/2017","Quercus","prinoides","742-51*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"66",66,"3/10/2017","Quercus","prinoides","768-54*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"67",67,"3/10/2017","Quercus","robur","180-93*8",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"68",68,"3/10/2017","Quercus","robur","400-2009*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Buds slightly swollen","0",3,10
"69",69,"3/10/2017","Quercus","rubra","354-37*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Branches high, couldn't tell if I was seeing flowers or broken petioles","0",3,10
"70",70,"3/10/2017","Quercus","rubra","466-37*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"71",71,"3/10/2017","Quercus","stellata","210-91*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"72",72,"3/10/2017","Quercus","stellata","212-91*3",0,"0",0,"0",0,"0",0,"0",1,1,"0",1,"0",0,"0",0,"0",0,"0","Male flowers","0",3,10
"73",73,"3/10/2017","Quercus","stellata","212-91*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,10
"74",74,"3/10/2017","Quercus","velutina","185-92*2",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",0,"0",0,"0",0,"0",0,"0","Recent leaf drop, green bud scars, swollen flower buds","0",3,10
"75",75,"3/10/2017","Quercus","velutina","185-92*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Bud swell (slight)","0",3,10
"76",76,"3/10/2017","Quercus","velutina","185-92*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Slight bud swell but no break","0",3,10
"77",77,"3/16/2017","Quercus","alba","134-U*60",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"78",78,"3/16/2017","Quercus","alba","304-94*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"79",79,"3/16/2017","Quercus","alba","684-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"80",80,"3/16/2017","Quercus","bicolor","135-U*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"81",81,"3/16/2017","Quercus","bicolor","214-91*2",1,"11-100",1,"11-100",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Frost damaged leaves and flowers, all low","0",3,16
"82",82,"3/16/2017","Quercus","bicolor","214-91*3",1,"0",1,"11-100",0,"0",0,"0",0,1,"03-10",0,"0",0,"0",0,"0",0,"0","Frost damaged leaves and flowers, all low","0",3,16
"83",83,"3/16/2017","Quercus","coccinea","1173-2004*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"84",84,"3/16/2017","Quercus","coccinea","1173-2004*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"85",85,"3/16/2017","Quercus","coccinea","435-2004*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"86",86,"3/16/2017","Quercus","dalechampii","286-97*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Buds swollen","0",3,16
"87",87,"3/16/2017","Quercus","dalechampii","286-97*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"88",88,"3/16/2017","Quercus","ellipsoidalis","204-92*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"89",89,"3/16/2017","Quercus","ellipsoidalis","204-92*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"90",90,"3/16/2017","Quercus","ellipsoidalis","437-2004*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"91",91,"3/16/2017","Quercus","gambelii","145-75*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"92",92,"3/16/2017","Quercus","gambelii","145-75*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"93",93,"3/16/2017","Quercus","gambelii","145-75*8",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"94",94,"3/16/2017","Quercus","georgiana","49-2002*3",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"95",95,"3/16/2017","Quercus","georgiana","49-2002*4",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"96",96,"3/16/2017","Quercus","georgiana","49-2002*5",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"97",97,"3/16/2017","Quercus","hartwissiana","27-95*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Buds swollen","0",3,16
"98",98,"3/16/2017","Quercus","hartwissiana","27-95*5",1,"11-100",1,"11-100",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Frost damaged leaves - 1 branch","0",3,16
"99",99,"3/16/2017","Quercus","ilicifolia","260-93*1",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"100",100,"3/16/2017","Quercus","ilicifolia","260-93*2",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"101",101,"3/16/2017","Quercus","imbricaria","1183-2004*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"102",102,"3/16/2017","Quercus","imbricaria","1512-35*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"103",103,"3/16/2017","Quercus","imbricaria","523-32*1",0,"0",0,"0",0,"0",0,"0",0,1,"101-1000",1,"0",0,"0",0,"0",0,"0","Frost damaged flowers","0",3,16
"104",104,"3/16/2017","Quercus","lobata","526-2000*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"105",105,"3/16/2017","Quercus","lyrata","1133-2004*1",1,"101-1000",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Frost damaged leaves and flowers","0",3,16
"106",106,"3/16/2017","Quercus","lyrata","179-95*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"107",107,"3/16/2017","Quercus","lyrata","517-2000*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"108",108,"3/16/2017","Quercus","macrocarpa","2390-26*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"109",109,"3/16/2017","Quercus","macrocarpa","597-2001*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"110",110,"3/16/2017","Quercus","macrocarpa","696-2006*8",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"111",111,"3/16/2017","Quercus","marilandica","1134-2004*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"112",112,"3/16/2017","Quercus","marilandica","305-94*2",0,"0",0,"0",0,"0",0,"0",0,1,"03-10",1,"0",0,"0",0,"0",0,"0","0","0",3,16
"113",113,"3/16/2017","Quercus","marilandica","362-96*7",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Frost damaged flowers (female)","0",3,16
"114",114,"3/16/2017","Quercus","michauxii","539-96*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"115",115,"3/16/2017","Quercus","michauxii","539-96*5",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"116",116,"3/16/2017","Quercus","michauxii","645-48*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"117",117,"3/16/2017","Quercus","montana","602-2000*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"118",118,"3/16/2017","Quercus","montana","606-2000*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"119",119,"3/16/2017","Quercus","montana","657-33*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"120",120,"3/16/2017","Quercus","muehlenbergii","215-91*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"121",121,"3/16/2017","Quercus","muehlenbergii","704-46*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"122",122,"3/16/2017","Quercus","muehlenbergii","704-46*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"123",123,"3/16/2017","Quercus","palustris","1164-22*6",0,"0",0,"0",0,"0",0,"0",0,1,"03-10",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"124",124,"3/16/2017","Quercus","palustris","573-40*7",0,"0",0,"0",0,"0",0,"0",0,1,"03-10",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"125",125,"3/16/2017","Quercus","palustris","77-72*1",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"126",126,"3/16/2017","Quercus","petraea","20-2012*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"127",127,"3/16/2017","Quercus","petraea","258-2004*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"128",128,"3/16/2017","Quercus","petraea","498-2005*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"129",129,"3/16/2017","Quercus","prinoides","365-2007*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"130",130,"3/16/2017","Quercus","prinoides","742-51*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"131",131,"3/16/2017","Quercus","prinoides","768-54*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"132",132,"3/16/2017","Quercus","pyrenaica","200-99*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"133",133,"3/16/2017","Quercus","robur","180-93*8",0,"0",0,"0",0,"0",0,"0",0,1,"03-10",1,"0",0,"0",0,"0",0,"0","Frost damaged flowers (male)","0",3,16
"134",134,"3/16/2017","Quercus","robur","21-2012*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"135",135,"3/16/2017","Quercus","robur","400-2009*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"136",136,"3/16/2017","Quercus","rubra","354-37*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"137",137,"3/16/2017","Quercus","rubra","466-37*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"138",138,"3/16/2017","Quercus","rubra","64-92*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"139",139,"3/16/2017","Quercus","shumardii","10-2008*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"140",140,"3/16/2017","Quercus","shumardii","1513-35*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"141",141,"3/16/2017","Quercus","shumardii","575-40*2",0,"0",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Female flowers, look frost damaged","0",3,16
"142",142,"3/16/2017","Quercus","stellata","210-91*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"143",143,"3/16/2017","Quercus","stellata","212-91*2",1,"03-10",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"144",144,"3/16/2017","Quercus","stellata","212-91*3",1,"11-100",0,"0",0,"0",0,"0",0,1,"11-100",1,"0",0,"0",0,"0",0,"0","Frost damaged flowers (male)","0",3,16
"145",145,"3/16/2017","Quercus","velutina","185-92*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","Buds swollen","0",3,16
"146",146,"3/16/2017","Quercus","velutina","185-92*4",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"147",147,"3/16/2017","Quercus","velutina","185-92*5",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,16
"148",148,"3/23/2017","Quercus","alba","134-U*60",0,"0",0,"0",0,"0",0,"0",1,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"149",149,"3/23/2017","Quercus","bicolor","214-91*2",0,"0",0,"0",0,"0",0,"0",1,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"150",150,"3/23/2017","Quercus","bicolor","214-91*3",0,"0",0,"0",0,"0",0,"0",1,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"151",151,"3/23/2017","Quercus","dalechampii","286-97*1",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"152",152,"3/23/2017","Quercus","dalechampii","286-97*2",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"153",153,"3/23/2017","Quercus","ellipsoidalis","204-92*4",0,"0",0,"0",0,"0",0,"0",1,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
"154",154,"3/23/2017","Quercus","hartwissiana","27-95*3",0,"0",0,"0",0,"0",0,"0",0,0,"0",0,"0",0,"0",0,"0",0,"0","0","0",3,23
